gbifID,license,rightsHolder,institutionCode,collectionCode,basisOfRecord,dynamicProperties,occurrenceID,catalogNumber,recordNumber,recordedBy,individualCount,establishmentMeans,occurrenceStatus,eventDate,year,month,day,countryCode,stateProvince,locality,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,typeStatus,identifiedBy,dateIdentified,scientificName,kingdom,phylum,class,order,family,genus,infraspecificEpithet,taxonRank,datasetKey,lastInterpreted,elevation,elevationAccuracy,depth,depthAccuracy,issue,mediaType,taxonKey,speciesKey,species,verbatimScientificName
440130494,CC_BY_4_0,,MNHN,RA,PRESERVED_SPECIMEN,"{'vessel': 'favorite', 'distance': 0.0, 'voyagerInferrences': 'collector'}",http://coldb.mnhn.fr/catalognumber/mnhn/ra/0.1586,0.1586,,"Eydoux, Joseph Fortuné Théodore",,,,1832-01-10T00:00:00,1832.0,1.0,10.0,,,Voyage de la Bonite,-47.76833333333334,-53.90833333333333,,,,"David, Patrick",,"Trimeresurus albolabris Gray, 1842",Animalia,Chordata,Reptilia,Squamata,Viperidae,Trimeresurus,,SPECIES,217b0d4f-c87e-4063-b6c5-78277e40e866,2020-06-30T15:51:40.993Z,,,,,COORDINATES_INFERRED,,8219807.0,8219807.0,Trimeresurus albolabris,"Trimeresurus albolabris (Gray, 1842)"
2434716273,CC_BY_4_0,,MEL,MEL,PRESERVED_SPECIMEN,"{'vessel': 'favorite', 'distance': 10.47358803464198, 'voyagerInferrences': 'route_proximity'}",09dccd64-e2b3-493e-8a2f-18e821a0342b,MEL 2454021A,109,"Riedel, L.",,,present,1832-02-01T00:00:00,1832.0,2.0,1.0,BR,,Brasilia. Corcovado. R. Jan. [=Rio de Janeiro].,-22.95,-43.216667,10000.0,,,"Kapuscinski, H.",,Triumfetta L.,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Triumfetta,,GENUS,4ce8e3f9-2546-4af1-b28d-e2eadf05dfd4,2020-06-13T12:14:17.192Z,,,,,COORDINATE_ROUNDED;nan,,3152064,,,Triumfetta
